index	name	myelin
1	HIP-rh	n/a
2	AMY-rh	n/a
3	pTHA-rh	n/a
4	aTHA-rh	n/a
5	NAc-rh	n/a
6	GP-rh	n/a
7	PUT-rh	n/a
8	CAU-rh	n/a
9	HIP-lh	n/a
10	AMY-lh	n/a
11	pTHA-lh	n/a
12	aTHA-lh	n/a
13	NAc-lh	n/a
14	GP-lh	n/a
15	PUT-lh	n/a
16	CAU-lh	n/a
17	7Networks_LH_Vis_1	1.31269
18	7Networks_LH_Vis_2	1.44643
19	7Networks_LH_Vis_3	1.4425
20	7Networks_LH_Vis_4	1.48584
21	7Networks_LH_Vis_5	1.53021
22	7Networks_LH_Vis_6	1.52414
23	7Networks_LH_Vis_7	1.40638
24	7Networks_LH_Vis_8	1.43525
25	7Networks_LH_Vis_9	1.47631
26	7Networks_LH_SomMot_1	1.47795
27	7Networks_LH_SomMot_2	1.4018
28	7Networks_LH_SomMot_3	1.30756
29	7Networks_LH_SomMot_4	1.4911
30	7Networks_LH_SomMot_5	1.54287
31	7Networks_LH_SomMot_6	1.47581
32	7Networks_LH_DorsAttn_Post_1	1.29227
33	7Networks_LH_DorsAttn_Post_2	1.28317
34	7Networks_LH_DorsAttn_Post_3	1.35573
35	7Networks_LH_DorsAttn_Post_4	1.34938
36	7Networks_LH_DorsAttn_Post_5	1.25332
37	7Networks_LH_DorsAttn_Post_6	1.30318
38	7Networks_LH_DorsAttn_PrCv_1	1.30314
39	7Networks_LH_DorsAttn_FEF_1	1.31997
40	7Networks_LH_SalVentAttn_ParOper_1	1.25133
41	7Networks_LH_SalVentAttn_FrOperIns_1	1.18647
42	7Networks_LH_SalVentAttn_FrOperIns_2	1.20669
43	7Networks_LH_SalVentAttn_PFCl_1	1.21134
44	7Networks_LH_SalVentAttn_Med_1	1.19375
45	7Networks_LH_SalVentAttn_Med_2	1.26591
46	7Networks_LH_SalVentAttn_Med_3	1.26899
47	7Networks_LH_Limbic_OFC_1	1.22368
48	7Networks_LH_Limbic_TempPole_1	1.13955
49	7Networks_LH_Limbic_TempPole_2	1.21475
50	7Networks_LH_Cont_Par_1	1.33128
51	7Networks_LH_Cont_PFCl_1	1.28239
52	7Networks_LH_Cont_pCun_1	1.38569
53	7Networks_LH_Cont_Cing_1	1.51801
54	7Networks_LH_Default_Temp_1	1.20556
55	7Networks_LH_Default_Temp_2	1.29831
56	7Networks_LH_Default_Par_1	1.32138
57	7Networks_LH_Default_Par_2	1.26178
58	7Networks_LH_Default_PFC_1	1.20667
59	7Networks_LH_Default_PFC_2	1.25996
60	7Networks_LH_Default_PFC_3	1.16905
61	7Networks_LH_Default_PFC_4	1.21175
62	7Networks_LH_Default_PFC_5	1.18734
63	7Networks_LH_Default_PFC_6	1.2794
64	7Networks_LH_Default_PFC_7	1.24704
65	7Networks_LH_Default_pCunPCC_1	1.44651
66	7Networks_LH_Default_pCunPCC_2	1.35057
67	7Networks_RH_Vis_1	1.29996
68	7Networks_RH_Vis_2	1.4403
69	7Networks_RH_Vis_3	1.35924
70	7Networks_RH_Vis_4	1.4862
71	7Networks_RH_Vis_5	1.55762
72	7Networks_RH_Vis_6	1.51752
73	7Networks_RH_Vis_7	1.4199
74	7Networks_RH_Vis_8	1.46298
75	7Networks_RH_SomMot_1	1.45985
76	7Networks_RH_SomMot_2	1.36669
77	7Networks_RH_SomMot_3	1.27439
78	7Networks_RH_SomMot_4	1.46669
79	7Networks_RH_SomMot_5	1.54041
80	7Networks_RH_SomMot_6	1.5546
81	7Networks_RH_SomMot_7	1.39992
82	7Networks_RH_SomMot_8	1.49695
83	7Networks_RH_DorsAttn_Post_1	1.33192
84	7Networks_RH_DorsAttn_Post_2	1.31147
85	7Networks_RH_DorsAttn_Post_3	1.34522
86	7Networks_RH_DorsAttn_Post_4	1.36403
87	7Networks_RH_DorsAttn_Post_5	1.26213
88	7Networks_RH_DorsAttn_PrCv_1	1.29497
89	7Networks_RH_DorsAttn_FEF_1	1.31999
90	7Networks_RH_SalVentAttn_TempOccPar_1	1.34204
91	7Networks_RH_SalVentAttn_TempOccPar_2	1.2698
92	7Networks_RH_SalVentAttn_FrOperIns_1	1.20373
93	7Networks_RH_SalVentAttn_Med_1	1.28227
94	7Networks_RH_SalVentAttn_Med_2	1.24188
95	7Networks_RH_Limbic_OFC_1	1.22603
96	7Networks_RH_Limbic_TempPole_1	1.14739
97	7Networks_RH_Cont_Par_1	1.25919
98	7Networks_RH_Cont_Par_2	1.3077
99	7Networks_RH_Cont_PFCl_1	1.20544
100	7Networks_RH_Cont_PFCl_2	1.2607
101	7Networks_RH_Cont_PFCl_3	1.2063
102	7Networks_RH_Cont_PFCl_4	1.28019
103	7Networks_RH_Cont_Cing_1	1.5394
104	7Networks_RH_Cont_PFCmp_1	1.18745
105	7Networks_RH_Cont_pCun_1	1.33557
106	7Networks_RH_Default_Par_1	1.27919
107	7Networks_RH_Default_Temp_1	1.20372
108	7Networks_RH_Default_Temp_2	1.15839
109	7Networks_RH_Default_Temp_3	1.3263
110	7Networks_RH_Default_PFCv_1	1.25907
111	7Networks_RH_Default_PFCv_2	1.25491
112	7Networks_RH_Default_PFCdPFCm_1	1.16827
113	7Networks_RH_Default_PFCdPFCm_2	1.18363
114	7Networks_RH_Default_PFCdPFCm_3	1.23896
115	7Networks_RH_Default_pCunPCC_1	1.45785
116	7Networks_RH_Default_pCunPCC_2	1.36858
